Manufacturer,Part,Description,Ref Desgs,Qty,Use,Budgetary Cost,Budgetary Cost Ext,Bought From
PCB + Mechanical,,,,,,,,
PCB,,,,1,,$0.00,$0.00,
,,,,,,,$0.00,
Actives,,,,,,,$0.00,
National,LM3404HVMA,LED Driver,,2,,$2.26,$4.52,
National,LM5009MM/NOPB,Buck Converter,,1,,$3.72,$3.72,
Atmel,ATMEGA88PA-AU,Microcontroller,,1,,$2.50,$2.50,
TI,SN65HVD12DG4,RS485 Driver,,1,,$2.10,$2.10,
Abracon,ABLS-8.000MHZ-B2-T,CRYSTAL 8.000MHZ 18PF SMD,,1,,$0.56,$0.56,
,,,,,,,$0.00,
Passives,,,,,,,$0.00,
Kemet,C1206C104K5RACTU,CAP 0.1UF 50VDC X7R 10% SMD 1206,,3,,$0.03,$0.10,
Kemet,C1206C103K5RACTU,CAP 0.01UF 50VDC X7R 10% SMD 1206,,2,,$0.04,$0.07,
Taiyo-Yuden,HMK316B7105KL-T,CAP CER 1UF 100V X7R 1206,,4,,$0.31,$1.24,
TDK,C3216X7R2A224K,CAP CER .22UF 100V X7R 10% 1206,,2,,$0.18,$0.36,
Diodes Inc,B1100-13-F,DIODE SCHOTTKY 100V 1A SMA,,3,,$0.34,$1.02,
Yageo,PT1206FR-070R22L,RES 0.22 OHM 0.25W 1% 1206 SMD,,2,,$0.13,$0.25,
Taiyo-Yuden,HMK212B7104KG-T,CAP CER .10UF 100V X7R 0805,,1,,$0.26,$0.26,
StackPole,RMCF0603FT3K09,RES 3.09K OHM 1/10W 1% 0603 SMD,,1,,$0.04,$0.04,
Panasonic,ERJ-3EKF1103V,RES 110K OHM 1/10W 1% 0603 SMD,,1,,$0.04,$0.04,
Panasonic,,RES 10K OHM 1/10W 1% 0603 SMD,,1,,$0.04,$0.04,
Panasonic,ERJ-3EKF1823V,RES 182K OHM 1/10W 1% 0603 SMD,,1,,$0.04,$0.04,
AVX,TAJD156K025RNJ,CAP TANTALUM 15UF 25V 10% SMD,,1,,$0.74,$0.74,
Yageo,RC0603JR-073RL,RES 3.0 OHM 1/10W 5% 0603 SMD,,1,,$0.04,$0.04,
Coilcraft, DO5040H-334KLB,DO5040H Series High Current,,2,,$1.50,$3.00,
Coilcraft, MSS1246-105KLB, MSS1246-105KLB,,1,,$1.04,$1.04,
,,,,,,,$0.00,
Connectors,,,,,,,$0.00,
Tyco,284512-2,TERM BLOCK HEADER 2POS R/A 3.5MM,,3,,$0.39,$1.17,DigiKey
Tyco,284506-2,TERM BLOCK PLUG 2POS 3.5MM,,3,,$0.77,$2.31,DigiKey
,,,,,,,$0.00,
,,,,,,,,
,,,,,,,$25.17,
,,,,,,,,
,,,,,,Price per LED (24LEDs),$1.04875,